Features	Low-freq fraction	Med-freq fraction	High-freq fraction	Effective fraction	Complete_Match (CM)	Predicted_Match (PM)
Frequency	0	0.132658576	0.021787296	0.154445873	0.008188774	0.146257099
Weight	-	-	-	-	1	0.2
----------	----------	----------	----------	----------	----------	----------
Rank	"CM:Top_Organisms (sum_of_freq, pct%)"	"PM:Top_Organisms (sum_of_freq, pct%)"	"CM+PM:Top_Organisms (sum_of_freq, pct%)"	"WeightedSum:Top_Organisms (sum_of_freq, pct%)"		
1	"SARS-CoV2 (0.00569, 69.43%)"	"SARS-CoV2 (0.09237, 63.15%)"	"SARS-CoV2 (0.09805, 63.49%)"	"SARS-CoV2 (0.02416, 64.53%)"		
2	"CMV (0.0026, 31.81%)"	"CMV (0.03321, 22.71%)"	"CMV (0.03582, 23.19%)"	"CMV (0.00925, 24.7%)"		
3	"EBV (0.00073, 8.89%)"	"EBV (0.01119, 7.65%)"	"EBV (0.01192, 7.71%)"	"EBV (0.00297, 7.92%)"		
4	"Homo sapiens (0.00056, 6.84%)"	"HBV (0.0082, 5.61%)"	"HBV (0.0082, 5.31%)"	"HBV (0.00164, 4.38%)"		
5	"Influenza (0.00024, 2.98%)"	"Influenza (0.00639, 4.37%)"	"Influenza (0.00663, 4.29%)"	"Influenza (0.00152, 4.06%)"		
6	"YFV (0.00013, 1.55%)"	"Homo sapiens (0.00208, 1.42%)"	"Homo sapiens (0.00264, 1.71%)"	"Homo sapiens (0.00098, 2.61%)"		
7	"Murid betaherpesvirus 1 (Murine cytomegalovirus) (0.00011, 1.29%)"	-	"YFV (0.00013, 0.08%)"	"YFV (0.00013, 0.34%)"		
8	-	-	"Murid betaherpesvirus 1 (Murine cytomegalovirus) (0.00011, 0.07%)"	"Murid betaherpesvirus 1 (Murine cytomegalovirus) (0.00011, 0.28%)"		
